,AVG V1,AVG V2,AVG V3,MED V1,MED V2,MED V3,AVG G1,AVG G2,AVG G3,MED G1,MED G2,MED G3
223,-0.07201801249999999,-0.09313248750000021,0.41858974374999997,-0.09211606249999998,-0.012022500000000158,0.41631674999999996,-0.07201801249999999,-0.09313248750000021,0.41858974374999997,-0.09211606249999998,-0.012022500000000158,0.41631674999999996
224,-0.05550889999999999,-0.07961415625000018,0.5634631874999999,-0.0466561875,-0.06705287500000012,0.5682484375,-0.05550889999999999,-0.07961415625000018,0.5634631874999999,-0.0466561875,-0.06705287500000012,0.5682484375
225,0.0019140999999999989,-0.054252331250000216,0.22191596875000003,0.009570499999999996,-0.05508975000000027,0.20098049999999998,0.0019140999999999989,-0.054252331250000216,0.22191596875000003,0.009570499999999996,-0.05508975000000027,0.20098049999999998
226,-0.0746499,-0.08523682500000021,0.5018530937500001,-0.07177875,-0.11370906250000012,0.514414375,-0.0746499,-0.08523682500000021,0.5018530937500001,-0.07177875,-0.11370906250000012,0.514414375
227,-0.081827775,-0.11430721875000023,0.7017569125,-0.083741875,-0.11490537500000009,0.708217,-0.081827775,-0.11430721875000023,0.7017569125,-0.083741875,-0.11490537500000009,0.708217
228,-0.0351715875,-0.09145765000000014,0.56095093125,-0.038282,-0.09337175000000009,0.6184935625,-0.0351715875,-0.09145765000000014,0.56095093125,-0.038282,-0.09337175000000009,0.6184935625
229,-0.061370831249999994,-0.09026133750000016,0.56956438125,-0.0669935,-0.05628606250000012,0.5215922500000001,-0.061370831249999994,-0.09026133750000016,0.56956438125,-0.0669935,-0.05628606250000012,0.5215922500000001
230,-0.005861931250000001,-0.06131057500000013,0.30254743125000005,0.0083741875,-0.043126625000000196,0.313433875,-0.005861931250000001,-0.06131057500000013,0.30254743125000005,0.0083741875,-0.043126625000000196,0.313433875
231,-0.052637750000000004,-0.07135960000000016,0.48749734375,-0.06220824999999999,-0.07662337500000027,0.533555375,-0.052637750000000004,-0.07135960000000016,0.48749734375,-0.06220824999999999,-0.07662337500000027,0.533555375
232,-0.039597943749999996,-0.07901600000000013,0.5476718624999999,-0.041870937500000004,-0.08978281250000009,0.5227885624999999,-0.039597943749999996,-0.07901600000000013,0.5476718624999999,-0.041870937500000004,-0.08978281250000009,0.5227885624999999
233,-0.05203959375,-0.09229506875000014,0.5711195874999999,-0.0634045625,-0.08619387500000009,0.5826041875000001,-0.05203959375,-0.09229506875000014,0.5711195874999999,-0.0634045625,-0.08619387500000009,0.5826041875000001
234,-0.12716801875,-0.08499756250000015,0.4144026500000001,-0.0370856875,-0.07662337500000016,0.41631675,-0.12716801875,-0.08499756250000015,0.4144026500000001,-0.0370856875,-0.07662337500000016,0.41631675
235,-0.1165208375,-0.06836881875000031,0.44694234999999993,-0.10647181249999998,-0.08021231250000016,0.4390466875,-0.1165208375,-0.06836881875000031,0.44694234999999993,-0.10647181249999998,-0.08021231250000016,0.4390466875
236,-0.14355749999999998,-0.07040255000000013,0.39705611875,-0.15193168750000002,-0.053893437500000085,0.34334168750000005,-0.14355749999999998,-0.07040255000000013,0.39705611875,-0.15193168750000002,-0.053893437500000085,0.34334168750000005
237,-0.02787408124999998,-0.07494853750000022,0.34047053749999995,0.0442635625,-0.08021231250000016,0.342145375,-0.02787408124999998,-0.07494853750000022,0.34047053749999995,0.0442635625,-0.08021231250000016,0.342145375
238,0.03840163125,-0.05042413125000015,0.3669090437500001,0.04785249999999999,-0.04073400000000016,0.4175130625,0.03840163125,-0.05042413125000015,0.3669090437500001,0.04785249999999999,-0.04073400000000016,0.4175130625
239,0.07560695,-0.11023975625000024,0.6219628687500002,0.064600875,-0.08739018750000027,0.6448124375,0.07560695,-0.11023975625000024,0.6219628687500002,0.064600875,-0.08739018750000027,0.6448124375
240,0.2726396187500001,-0.06322467500000009,0.49431632499999995,0.2691703125,-0.035948749999999974,0.5132180625,0.2726396187500001,-0.06322467500000009,0.49431632499999995,0.2691703125,-0.035948749999999974,0.5132180625
241,0.057423,-0.11358943125000014,0.44586566874999994,0.09091975,-0.11729800000000012,0.433065125,0.057423,-0.11358943125000014,0.44586566874999994,0.09091975,-0.11729800000000012,0.433065125
242,0.5773404125000001,-0.16850017500000028,0.40674625,0.7931551875,-0.17352468750000005,0.3923905,0.5773404125000001,-0.16850017500000028,0.40674625,0.7931551875,-0.17352468750000005,0.3923905
243,-0.26318874999999997,-0.049945606250000094,0.36666978125,-0.13518331249999999,0.041811562499999844,0.4653655625,-0.26318874999999997,-0.049945606250000094,0.36666978125,-0.13518331249999999,0.041811562499999844,0.4653655625
244,-0.10515586875000002,-0.013218812500000177,0.29201988124999995,-0.2835260625,-0.07662337500000027,0.306256,-0.10515586875000002,-0.013218812500000177,0.29201988124999995,-0.2835260625,-0.07662337500000027,0.306256
245,-0.09797799374999999,0.014535637499999787,0.2813727,-0.06579718749999999,-0.04791187500000016,0.28831131249999997,-0.09797799374999999,0.014535637499999787,0.2813727,-0.06579718749999999,-0.04791187500000016,0.28831131249999997
246,-0.015312799999999982,-0.01489365000000017,0.1280054375,-0.035889375,-0.025181937500000084,0.287115,-0.015312799999999982,-0.01489365000000017,0.1280054375,-0.035889375,-0.025181937500000084,0.287115
247,-0.14822311875000002,-0.035350593750000256,0.31833875624999997,-0.10049025,-0.03235981250000031,0.3122375625,-0.14822311875000002,-0.035350593750000256,0.31833875624999997,-0.10049025,-0.03235981250000031,0.3122375625
248,-0.22394969999999997,-0.04647630000000018,0.34130795625,-0.14116487499999997,-0.04551925000000023,0.3457343124999999,-0.22394969999999997,-0.04647630000000018,0.34130795625,-0.14116487499999997,-0.04551925000000023,0.3457343124999999
249,-0.16521075625,-0.052338231250000075,0.39873095625,-0.17346531249999997,-0.05150081250000005,0.3768384375,-0.16521075625,-0.052338231250000075,0.39873095625,-0.17346531249999997,-0.05150081250000005,0.3768384375
250,0.03253969999999999,-0.08559571875000016,0.24847410625000005,0.08972343749999999,-0.08739018750000005,0.26677768749999997,0.03253969999999999,-0.08559571875000016,0.24847410625000005,0.08972343749999999,-0.08739018750000005,0.26677768749999997
251,0.2898665187499999,-0.1754387875000002,0.6347634125,0.30147075,-0.17472100000000024,0.6507940000000001,0.2898665187499999,-0.1754387875000002,0.6347634125,0.30147075,-0.17472100000000024,0.6507940000000001
