ride_id,UTC,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,simple_label
15692,2018-11-09 19:17:41.238,0.34453799999999996,11.637728,2.775445,-2.1951219512195124,-5.0,8.414634146341465,-37.0,-165.0,197.0,PADDLING
15692,2018-11-09 19:17:41.502,-1.8949589999999998,10.087307,0.8613449999999999,16.585365853658537,-4.146341463414634,7.560975609756098,-45.0,-163.0,201.0,PADDLING
15692,2018-11-09 19:17:41.733,-1.4355749999999998,10.699819,1.6078439999999998,1.829268292682927,-6.219512195121951,-4.390243902439025,-42.0,-158.0,216.0,PADDLING
15692,2018-11-09 19:17:41.997,4.40243,8.288053,1.9523819999999998,-7.317073170731708,-6.097560975609756,3.2926829268292686,-41.0,-165.0,195.0,PADDLING
15692,2018-11-09 19:17:42.228,-1.856677,11.465459,2.392625,3.9024390243902443,-8.170731707317074,20.121951219512198,-46.0,-166.0,186.0,PADDLING
15692,2018-11-09 19:17:42.492,14.987402999999999,21.839881,10.259576,-32.43902439024391,0.12195121951219513,2.1951219512195124,-47.0,-165.0,175.0,PADDLING
15692,2018-11-09 19:17:42.756,-0.22969199999999998,8.307193999999999,0.363679,57.07317073170732,22.682926829268293,-15.487804878048783,-48.0,-180.0,150.0,PADDLING
15692,2018-11-09 19:17:42.987,-2.450048,12.652200999999998,-1.186742,28.414634146341466,-17.31707317073171,5.853658536585367,-50.0,-160.0,210.0,PADDLING
15692,2018-11-09 19:17:43.251,-2.0480869999999998,8.364616999999999,3.2731109999999997,-0.3658536585365854,5.975609756097562,10.853658536585368,-50.0,-166.0,206.0,PADDLING
15692,2018-11-09 19:17:43.482,0.478525,10.604114,0.727358,-12.80487804878049,-0.3658536585365854,4.75609756097561,-56.0,-174.0,194.0,PADDLING
15692,2018-11-09 19:17:43.746,-1.0910369999999998,10.584973,1.416434,25.60975609756098,7.439024390243903,1.2195121951219514,-48.0,-158.0,200.0,PADDLING
15692,2018-11-09 19:17:44.010,0.17226899999999998,9.627923,0.5742299999999999,9.146341463414634,5.609756097560976,-7.682926829268293,-43.0,-163.0,215.0,PADDLING
15692,2018-11-09 19:17:44.241,0.7464989999999999,9.302525999999999,1.1484599999999998,-22.31707317073171,1.707317073170732,1.0975609756097562,-47.0,-159.0,207.0,PADDLING
15692,2018-11-09 19:17:44.505,-0.038282,9.436513,2.0480869999999998,-6.219512195121951,-9.634146341463415,9.390243902439025,-60.0,-174.0,188.0,PADDLING
15692,2018-11-09 19:17:44.769,-0.019141,11.120921,2.201215,29.02439024390244,9.756097560975611,9.634146341463415,-61.0,-169.0,195.0,PADDLING
15692,2018-11-09 19:17:45.000,0.038282,8.843141999999999,0.9379089999999999,9.02439024390244,11.097560975609756,-3.2926829268292686,-54.0,-160.0,212.0,PADDLING
15692,2018-11-09 19:17:45.264,0.24883299999999997,9.915038,0.44024299999999994,-28.292682926829272,5.487804878048781,5.853658536585367,-72.0,-162.0,202.0,PADDLING
15692,2018-11-09 19:17:45.528,-0.535948,10.355281,1.3207289999999998,13.902439024390246,-6.707317073170732,-10.853658536585368,-69.0,-165.0,191.0,PADDLING
15692,2018-11-09 19:17:45.759,0.9761909999999999,7.637258999999999,2.3352019999999998,-8.78048780487805,5.0,-33.41463414634146,-45.0,-169.0,191.0,PADDLING
15692,2018-11-09 19:17:46.023,-0.153128,7.962655999999999,1.7035489999999998,13.29268292682927,8.658536585365855,2.5609756097560976,-21.0,-163.0,195.0,PADDLING
15692,2018-11-09 19:17:46.254,0.899627,10.584973,1.7035489999999998,-11.219512195121952,1.5853658536585367,16.34146341463415,-29.0,-169.0,197.0,PADDLING
15692,2018-11-09 19:17:46.518,-1.7035489999999998,10.584973,0.650794,15.487804878048783,0.3658536585365854,11.219512195121952,-51.0,-167.0,201.0,PADDLING
15692,2018-11-09 19:17:46.749,0.45938399999999996,10.393562999999999,1.129319,3.048780487804878,-4.390243902439025,-3.414634146341464,-56.0,-168.0,200.0,PADDLING
15692,2018-11-09 19:17:47.013,-0.09570499999999998,9.647063999999999,1.6078439999999998,16.219512195121954,-9.26829268292683,-2.439024390243903,-44.0,-162.0,220.0,PADDLING
15692,2018-11-09 19:17:47.277,-0.11484599999999999,8.900564999999999,1.5312799999999998,-12.560975609756099,0.9756097560975611,0.12195121951219513,-27.0,-153.0,209.0,PADDLING
15692,2018-11-09 19:17:47.508,0.49766599999999994,9.934178999999999,1.7609719999999998,-28.170731707317074,7.8048780487804885,10.0,-39.0,-171.0,191.0,PADDLING
15692,2018-11-09 19:17:47.772,-1.071896,10.470127,1.569562,-5.0,3.658536585365854,2.682926829268293,-52.0,-176.0,172.0,PADDLING
15692,2018-11-09 19:17:48.036,0.899627,8.766577999999999,3.3879569999999997,8.292682926829269,11.219512195121952,-2.439024390243903,-42.0,-182.0,162.0,PADDLING
15692,2018-11-09 19:17:48.267,-1.014473,9.781051,1.4355749999999998,26.707317073170735,8.048780487804878,-2.682926829268293,-48.0,-168.0,194.0,PADDLING
15692,2018-11-09 19:17:48.531,-0.153128,9.398231,0.8230629999999999,0.0,4.51219512195122,-1.0975609756097562,-45.0,-163.0,201.0,PADDLING
15692,2018-11-09 19:17:48.795,0.17226899999999998,9.359948999999999,2.564894,-26.82926829268293,-1.0975609756097562,-1.707317073170732,-42.0,-172.0,180.0,PADDLING
15692,2018-11-09 19:17:49.026,-0.9761909999999999,9.493936,1.799254,15.975609756097562,-1.0975609756097562,0.12195121951219513,-47.0,-177.0,169.0,PADDLING
